chrI	87388	87500	+
chrI	139188	139218	+
chrI	142254	142619	+
chrI	151007	151096	-
chrI	181179	181210	+
chrII	4117	4215	-
chrII	36435	36452	+
chrII	47059	47146	-
chrII	60194	60697	-
chrII	110421	110505	-
chrII	110880	110948	+
chrII	125155	125270	+
chrII	142750	142846	-
chrII	168425	168808	+
chrII	170677	170804	+
chrII	186353	186427	-
chrII	332876	333386	+
chrII	366503	366584	-
chrII	393181	393510	+
chrII	407028	407122	-
chrII	414754	415259	-
chrII	426517	426873	-
chrII	462210	462289	+
chrII	462430	462499	+
chrII	479346	479434	+
chrII	592417	592768	-
chrII	602104	602216	+
chrII	604515	604927	+
chrII	606281	606668	+
chrII	653369	653452	+
chrII	662582	663002	-
chrII	679943	680039	-
chrII	726918	727011	-
chrIII	90897	90928	+
chrIII	101634	101700	-
chrIII	107034	107110	+
chrIII	107192	107287	+
chrIII	111558	111633	-
chrIII	173116	173198	-
chrIII	177907	178213	-
chrIII	227979	227997	+
chrIII	293940	293993	+
chrIII	294240	294291	+
chrIV	65307	65377	+
chrIV	117667	118157	+
chrIV	217603	218007	+
chrIV	230020	230320	+
chrIV	239399	239509	-
chrIV	254975	255044	-
chrIV	267726	267806	+
chrIV	307334	307765	-
chrIV	308428	308792	+
chrIV	314045	314336	-
chrIV	322283	322703	+
chrIV	337525	337634	+
chrIV	359614	359636	+
chrIV	399362	399484	+
chrIV	431387	431472	-
chrIV	458018	458097	-
chrIV	491560	491898	+
chrIV	569634	569723	-
chrIV	579479	580017	+
chrIV	629906	630173	+
chrIV	715248	715358	-
chrIV	733703	733775	-
chrIV	884398	884457	+
chrIV	946351	946364	+
chrIV	1073313	1073401	-
chrIV	1095406	1095424	-
chrIV	1103810	1103892	+
chrIV	1212878	1212978	+
chrIV	1236843	1237608	+
chrIV	1238631	1238824	-
chrIV	1266770	1266861	-
chrIV	1319618	1319697	-
chrIV	1319721	1319816	-
chrIV	1355237	1355550	-
chrIV	1359970	1360404	+
chrIV	1401801	1402184	+
chrIV	1450458	1450846	-
chrIV	1461759	1461791	-
chrIV	1507059	1507314	-
chrV	4323	4601	-
chrV	131777	131899	+
chrV	148195	148282	+
chrV	158995	159087	-
chrV	166772	166874	-
chrV	184170	184677	-
chrV	239624	239711	-
chrV	269752	270148	-
chrV	306326	306791	+
chrV	307747	307848	+
chrV	307957	308067	+
chrV	348202	348276	-
chrV	396811	397281	+
chrV	432672	433196	+
chrV	548553	548644	+
chrVI	54378	54686	-
chrVI	63860	63973	-
chrVI	64600	64920	-
chrVI	75840	76091	+
chrVI	101412	101442	+
chrVI	157952	157970	-
